CONGLOME,VIVIENDA,HOGAR,CODPERSO,GENERO,EDAD,FACTOR_EXPANSION,NIVEL_EDUCATIVO,TIENE_BILLETERA,USA_BILLETERA,TIENE_BILLETERA_ALT_E10,TIENE_BILLETERA_ALT_E6,USA_BILLETERA_ALT_H6,BANCO_PREVIO,FORMAL,OCUPADO,UBIGEO,ESTRATO,DOMINIO,INTERNET_HOGAR,SMARTPHONE,INGHOG2D,GASHOG2D,MIEPERHO,POBREZA,INGRESO_PC,DPTO
15001,24,11,2,1.0,10.0,225.326202392578,3.0,0,0,,,,0,0,,10101,4,4,0,1,18100.767578125,14979.9873046875,2,3,9050.3837890625,1
15001,24,11,3,2.0,24.0,225.326202392578,,0,0,,,,0,0,,10101,4,4,0,1,18100.767578125,14979.9873046875,2,3,9050.3837890625,1
15001,85,11,1,1.0,56.0,225.326202392578,11.0,1,0,1.0,0.0,1.0,1,1,1.0,10101,4,4,1,1,63975.84765625,86583.1875,3,3,21325.28255208333,1
15001,85,11,2,2.0,59.0,225.326202392578,8.0,1,0,1.0,0.0,1.0,1,1,1.0,10101,4,4,1,1,63975.84765625,86583.1875,3,3,21325.28255208333,1
15001,85,11,3,2.0,21.0,225.326202392578,9.0,0,1,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,63975.84765625,86583.1875,3,3,21325.28255208333,1
15001,85,11,4,1.0,10.0,225.326202392578,,0,0,,,,0,0,,10101,4,4,1,1,63975.84765625,86583.1875,3,3,21325.28255208333,1
15001,126,11,1,2.0,58.0,225.326202392578,5.0,0,0,1.0,1.0,1.0,0,0,1.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,1
15001,126,11,2,1.0,67.0,225.326202392578,6.0,0,0,1.0,1.0,1.0,0,0,1.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,1
15001,126,11,3,2.0,35.0,225.326202392578,10.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,1
15001,126,11,4,1.0,32.0,225.326202392578,6.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,1
15001,126,11,5,2.0,18.0,225.326202392578,6.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,1
15001,126,11,6,2.0,1.0,225.326202392578,,0,0,,,,0,0,,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,1
15001,126,11,7,2.0,25.0,225.326202392578,7.0,1,1,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,1
15001,126,11,8,1.0,4.0,225.326202392578,2.0,0,0,,,,0,0,,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,1
